x_t0,x_t1,x_t2
69,66,61
66,61,57
61,57,51
57,51,49
51,49,47
49,47,46
47,46,43
46,43,42
43,42,44
42,44,42
44,42,37
42,37,36
37,36,29
36,29,29
29,29,28
29,28,33
28,33,51
33,51,60
51,60,58
60,58,56
58,56,53
56,53,51
53,51,49
51,49,47
49,47,44
47,44,43
44,43,41
43,41,41
41,41,40
41,40,41
40,41,41
41,41,42
41,42,41
42,41,40
41,40,38
40,38,34
38,34,30
34,30,28
30,28,27
28,27,32
27,32,50
32,50,62
50,62,61
62,61,59
61,59,54
59,54,52
54,52,47
52,47,45
47,45,44
45,44,44
44,44,40
44,40,41
40,41,40
41,40,39
40,39,39
39,39,40
39,40,38
40,38,38
38,38,36
38,36,33
36,33,28
33,28,26
28,26,29
26,29,32
29,32,48
32,48,60
48,60,62
60,62,58
62,58,58
58,58,52
58,52,48
52,48,47
48,47,43
47,43,41
43,41,39
41,39,39
39,39,39
39,39,38
39,38,37
38,37,38
37,38,40
38,40,38
40,38,38
38,38,35
38,35,28
35,28,32
28,32,30
32,30,34
30,34,49
34,49,63
49,63,61
63,61,59
61,59,56
59,56,52
56,52,48
52,48,44
48,44,43
44,43,41
43,41,40
41,40,40
40,40,39
40,39,38
39,38,38
38,38,39
38,39,37
39,37,37
37,37,34
37,34,31
34,31,26
31,26,27
26,27,29
27,29,31
29,31,49
31,49,66
49,66,67
66,67,65
67,65,60
65,60,57
60,57,52
57,52,48
52,48,47
48,47,43
47,43,44
43,44,42
44,42,40
42,40,41
40,41,40
41,40,42
40,42,40
42,40,39
40,39,36
39,36,34
36,34,28
34,28,30
28,30,30
30,30,35
30,35,62
35,62,80
62,80,94
80,94,96
94,96,89
96,89,82
89,82,80
82,80,65
80,65,59
65,59,57
59,57,53
57,53,50
53,50,48
50,48,46
48,46,43
46,43,43
43,43,41
43,41,38
41,38,35
38,35,31
35,31,25
31,25,24
25,24,26
24,26,28
26,28,43
28,43,85
43,85,96
85,96,100
96,100,95
100,95,88
